HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,Input.lang,Answer.city,Answer.answer4,Answer.region,Answer.answer10,Answer.answer5,Answer.browserInfo,Answer.country,Answer.answer6,Answer.answer7,Answer.ipAddress,Answer.answer8,Answer.answer9,Answer.userDisplayLanguage,Answer.lang,Answer.answer1,Answer.answer2,Answer.answer3,Approve,Reject
2RMZTFMXHYRZV0D1GA3Z,2WJZY3XTYR4Z3Q9ZBY00,Listening puzzle,Listen to a strange language for a few minutes -- after a while you may be able to recognize the words. PLEASE DO THIS HIT ONLY ONCE.,"language, sound, listening, game",$0.50 ,Thu Jan 14 18:14:21 GMT 2010,3,,3600,86400,Fri Jan 15 18:14:21 GMT 2010,14,,2RMZTFMXHYRZV0D1GA3Z4KBZVQY4X19ZT8MRFW40,1,Submitted,Thu Jan 14 18:24:28 GMT 2010,Thu Jan 14 18:31:12 GMT 2010,Fri Jan 15 18:31:12 GMT 2010,,,,404,2,Zagreb,1010101010,Grad Zagreb,1010101010,1010101010,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.7) Gecko/20091221 Firefox/3.5.7 GTB6 (.NET CLR 3.5.30729),Croatia,1010101010,1010101010,89.164.177.64,1010101010,1010101010,en-US,2,1010101010,1001010100,1010101010,,
2RMZTFMXHYRZV0D1GA3Z,2WJZY3XTYR4Z3Q9ZBY00,Listening puzzle,Listen to a strange language for a few minutes -- after a while you may be able to recognize the words. PLEASE DO THIS HIT ONLY ONCE.,"language, sound, listening, game",$0.50 ,Thu Jan 14 18:14:21 GMT 2010,3,,3600,86400,Fri Jan 15 18:14:21 GMT 2010,14,,2RMZTFMXHYRZV0D1GA3ZPR5MWZ11Z35R26ZD7W20,2,Submitted,Thu Jan 14 18:14:45 GMT 2010,Thu Jan 14 18:21:31 GMT 2010,Fri Jan 15 18:21:31 GMT 2010,,,,406,2,Berlin,10010,Berlin,10001000,1000001000,Mozilla/5.0 (Windows; U; Windows NT 6.1; de; rv:1.9.1.7) Gecko/20091221 Firefox/3.5.7,Germany,1000001000,1000100000,93.209.98.219,10100000,100100000,de,2,101000,1010010,100000,,
2RMZTFMXHYRZV0D1GA3Z,2WJZY3XTYR4Z3Q9ZBY00,Listening puzzle,Listen to a strange language for a few minutes -- after a while you may be able to recognize the words. PLEASE DO THIS HIT ONLY ONCE.,"language, sound, listening, game",$0.50 ,Thu Jan 14 18:14:21 GMT 2010,3,,3600,86400,Fri Jan 15 18:14:21 GMT 2010,14,,2RMZTFMXHYRZV0D1GA3ZRZAZP4Y1602ZYKM4P2QZ,3,Submitted,Thu Jan 14 22:16:20 GMT 2010,Thu Jan 14 22:23:23 GMT 2010,Fri Jan 15 22:23:23 GMT 2010,,,,423,2,,1010101001,,1010101010,1011001010,,,1010010110,1101010010,,1011010100,1010010010,,2,11010010100,1011001010,101001010,,
2YFZ03YEZKPR1YMZ9RPZ,2WJZY3XTYR4Z3Q9ZBY00,Listening puzzle,Listen to a strange language for a few minutes -- after a while you may be able to recognize the words. PLEASE DO THIS HIT ONLY ONCE.,"language, sound, listening, game",$0.50 ,Thu Jan 14 18:14:23 GMT 2010,3,,3600,86400,Fri Jan 15 18:14:23 GMT 2010,9,,2YFZ03YEZKPR1YMZ9RPZB90T2WY9ZWGZRD09WJG0,4,Submitted,Thu Jan 14 21:51:56 GMT 2010,Thu Jan 14 21:59:42 GMT 2010,Fri Jan 15 21:59:42 GMT 2010,,,,466,25,Anoka,10010101011,Minnesota,10011110011,11100100,Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.1.7) Gecko/20091221 Firefox/3.5.7 (.NET CLR 3.5.30729),United States,11011110011,11011000,75.72.134.36,10010100100,11000101010,en-US,25,10101000100,10011011100,11110011,,
2YFZ03YEZKPR1YMZ9RPZ,2WJZY3XTYR4Z3Q9ZBY00,Listening puzzle,Listen to a strange language for a few minutes -- after a while you may be able to recognize the words. PLEASE DO THIS HIT ONLY ONCE.,"language, sound, listening, game",$0.50 ,Thu Jan 14 18:14:23 GMT 2010,3,,3600,86400,Fri Jan 15 18:14:23 GMT 2010,9,,2YFZ03YEZKPR1YMZ9RPZGKC8YVS4GXH0HJ4JPHT0,5,Submitted,Thu Jan 14 23:50:49 GMT 2010,Thu Jan 14 23:57:01 GMT 2010,Fri Jan 15 23:57:01 GMT 2010,,,,372,25,San Jose,10100010,California,10100010,10010010,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; yie8),United States,10100010,10100010,68.121.164.255,10010010,10001000,undefined,25,10101000,10001000,10100010,,
2YFZ03YEZKPR1YMZ9RPZ,2WJZY3XTYR4Z3Q9ZBY00,Listening puzzle,Listen to a strange language for a few minutes -- after a while you may be able to recognize the words. PLEASE DO THIS HIT ONLY ONCE.,"language, sound, listening, game",$0.50 ,Thu Jan 14 18:14:23 GMT 2010,3,,3600,86400,Fri Jan 15 18:14:23 GMT 2010,9,,2YFZ03YEZKPR1YMZ9RPZM3JZHJHJMZ0ZWED00YMZ,6,Submitted,Thu Jan 14 19:30:00 GMT 2010,Thu Jan 14 19:38:11 GMT 2010,Fri Jan 15 19:38:11 GMT 2010,,,,491,25,Providence,1011010110,Rhode Island,10010010010,1010110100,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.7) Gecko/20091221 Firefox/3.5.7,United States,1011101010,1010110100,64.17.228.165,10110101010,1101010010,en-US,25,1011010100,1010100100,1010101010,,
3J7ZJWNXTW4T3JX4T9MZ,2WJZY3XTYR4Z3Q9ZBY00,Listening puzzle,Listen to a strange language for a few minutes -- after a while you may be able to recognize the words. PLEASE DO THIS HIT ONLY ONCE.,"language, sound, listening, game",$0.50 ,Thu Jan 14 18:14:23 GMT 2010,3,,3600,86400,Fri Jan 15 18:14:23 GMT 2010,23,,3J7ZJWNXTW4T3JX4T9MZE0VMR44TEYPZWVYFMHG0,7,Submitted,Thu Jan 14 19:02:21 GMT 2010,Thu Jan 14 19:10:20 GMT 2010,Fri Jan 15 19:10:20 GMT 2010,,,,479,20,Las Vegas,1001101000,Nevada,1010100110,10110110100,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618; yie8),United States,1010101100,101100,138.210.35.220,1010101000,1010101100,undefined,20,1001101100,10010101010,10110001100,,
3J7ZJWNXTW4T3JX4T9MZ,2WJZY3XTYR4Z3Q9ZBY00,Listening puzzle,Listen to a strange language for a few minutes -- after a while you may be able to recognize the words. PLEASE DO THIS HIT ONLY ONCE.,"language, sound, listening, game",$0.50 ,Thu Jan 14 18:14:23 GMT 2010,3,,3600,86400,Fri Jan 15 18:14:23 GMT 2010,23,,3J7ZJWNXTW4T3JX4T9MZXS3Z3A97XYZZHANXQA1Z,8,Submitted,Thu Jan 14 19:18:27 GMT 2010,Thu Jan 14 19:19:16 GMT 2010,Fri Jan 15 19:19:16 GMT 2010,,,,49,20,Atlanta,NA,Georgia,NA,NA,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.7) Gecko/20091221 Firefox/3.5.7,United States,NA,NA,24.98.108.232,NA,NA,en-US,20,NA,NA,NA,,
3J7ZJWNXTW4T3JX4T9MZ,2WJZY3XTYR4Z3Q9ZBY00,Listening puzzle,Listen to a strange language for a few minutes -- after a while you may be able to recognize the words. PLEASE DO THIS HIT ONLY ONCE.,"language, sound, listening, game",$0.50 ,Thu Jan 14 18:14:23 GMT 2010,3,,3600,86400,Fri Jan 15 18:14:23 GMT 2010,23,,3J7ZJWNXTW4T3JX4T9MZZJBZR5WRMB2Z46YBPKDZ,9,Submitted,Thu Jan 14 18:20:06 GMT 2010,Thu Jan 14 18:26:56 GMT 2010,Fri Jan 15 18:26:56 GMT 2010,,,,410,20,Chicago,1000100100,Illinois,100100100,1001010010,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; MS-RTC LM 8),United States,100100100,1001001000,165.68.102.79,1001001000,1001001000,undefined,20,1001010100,101000100,101001000,,
3WXASQ43MBRGH4X9WX8Z,2WJZY3XTYR4Z3Q9ZBY00,Listening puzzle,Listen to a strange language for a few minutes -- after a while you may be able to recognize the words. PLEASE DO THIS HIT ONLY ONCE.,"language, sound, listening, game",$0.50 ,Thu Jan 14 18:14:23 GMT 2010,3,,3600,86400,Fri Jan 15 18:14:23 GMT 2010,0,,3WXASQ43MBRGH4X9WX8Z2RWZ4KZXE9ZZSYCH8J90,10,Submitted,Thu Jan 14 20:53:00 GMT 2010,Thu Jan 14 21:10:57 GMT 2010,Fri Jan 15 21:10:57 GMT 2010,,,,1077,21,Aurora,1010010100,Colorado,101001010,101000100,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.7) Gecko/20091221 Firefox/3.5.7 (.NET CLR 3.5.30729),United States,1010010100,1001001010,71.196.252.252,1010100100,1100100100,en-US,21,100100001,1010001001,1010100010,,
